,author,quote,likes
0,Chris Rock,"“You know the world is going crazy when the best rapper is a white guy, the best golfer is a black guy, the tallest guy in the NBA is Chinese, the Swiss hold the America's Cup, France is accusing the U.S. of arrogance, Germany doesn't want to go to war, and the three most powerful men in America are named ""Bush"", ""Dick"", and ""Colin."" Need I say more?”",9416
1,"Suzanne Collins,","“Well, don't expect us to be too impressed. We just saw Finnick Odair in his underwear.”",9197
2,"Billy Sunday,",“Going to church doesn’t make you a Christian any more than going to a garage makes you an automobile.”,8931
3,George Carlin,“The planet is fine. The people are fucked.”,8608
4,Phyllis Diller,“Never go to bed mad. Stay up and fight.”,8232
5,Mark Twain,"“I did not attend his funeral, but I sent a nice letter saying I approved of it.”",7480
6,"Ellen DeGeneres,",“Accept who you are. Unless you're a serial killer.”,7115
7,"John Green,","“What the hell is that?"" I laughed.",7104
8,Marilyn Monroe,“It's not true that I had nothing on. I had the radio on.”,6844
9,"Lemony Snicket,","“Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”",6364
10,"John Green,",“They love their hair because they're not smart enough to love something more interesting.”,6257
11,Cathy Guiswite,"“When life gives you lemons, squirt someone in the eye.”",5164
12,Albert Einstein,"“Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.”",5162
13,"John Green,","“It's not because I want to make out with her.""",4117
14,Jerry Seinfeld,"“If a book about failures doesn't sell, is it a success?”",4032
15,Rodney Dangerfield,"“I came from a real tough neighborhood. Once a guy pulled a knife on me. I knew he wasn't a professional, the knife had butter on it.”",3736
16,Golda Meir,“Don't be so humble - you are not that great.”,3497
17,"Leigh Bardugo,","“Jesper knocked his head against the hull and cast his eyes heavenward. “Fine. But if Pekka Rollins kills us all, I’m going to get Wylan’s ghost to teach my ghost how to play the flute just so that I can annoy the hell out of your ghost.”",3365
18,"Cassandra Clare,","“I thought I'd lie on the floor and writhe in pain for a while,"" he grunted, ""It relaxes me.""",3167
19,"Suzanne Collins,","“I'm going to wake Peeta,"" I say.",3021
20,"Yogi Berra,","“Always go to other people's funerals, otherwise they won't come to yours.”",2996
21,Shel Silverstein,"“I cannot go to school today""",2971
22,Bill Cosby,"“A word to the wise ain't necessary, it's the stupid ones who need advice.”",2969
23,"Richelle Mead,","“Did you see that dress?” ""I saw the dress.” ""Did you like it?” He didn't answer. I took that as a yes. ""Am I going to endanger my reputation if I wear it to the dance?” When he spoke, I could barely hear him. ""You'll endanger the school.” I smiled and fell asleep.”",2838
24,Lawrence Ferlinghetti,“If you're too open-minded; your brains will fall out.”,2827
25,"John Green,","“Headline?"" he asked.",2813
26,"Rick Riordan,",“Um...is that thing,2705
27,Rick Riordan,"“Can you surf really well, then?""",2647
28,"Stephanie Lennox,","“I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?”",2628
29,Will Rogers,“Never miss a good chance to shut up.”,2533
